id,name,homepage_url,source_url,category_id
1,jQuery,https://jquery.com/,https://github.com/jquery/jquery,1
2,Zepto,http://zeptojs.com/,https://github.com/madrobby/zepto,1
3,Prototype,http://prototypejs.org/,https://github.com/sstephenson/prototype,1
